id;name;price;quantity;description;publish_date
1;Steel;31485;98311;quantify monetize Consultant;2023-12-04
2;Chilean reboot Dynamic;70131;46955;withdrawal THX Division;2023-12-05
3;Card;44325;83023;Metical Incredible;2023-12-04
4;Internal intermediate;30312;49167;Generic;2023-12-04
5;Drive Australian;16473;23281;digital;2023-12-04
6;Identity throughput Village;95487;35518;Dynamic Sports;2023-12-04
7;Personal Steel;15779;40746;Ethiopia;2023-12-04
8;Rubber Chips;22423;16073;Tunnel;2023-12-05
9;black;71810;62192;methodical;2023-12-04
10;Cheese Consultant online;80952;30021;Stand-alone Fantastic Sleek;2023-12-04
